League,Team Name,MP,GF,GA,GD,xG,xGA,xGD,Shots/90,SoT/90,Goals/Shot,Goals/SoT,Avg Shot Distance,Key Passes/90,Passes into Final Third/90,Passes into Penalty Area/90,Crosses into Penalty Area/90,Progressive Passes/90,Possession %,Tackles,Tackles Won,Challenges Attempted,Aerial Duel Win %
Premier League,Manchester City,36,67,43,24,63.6,45.3,18.3,15.89,5.53,0.11,0.32,16.9,5.0,17.89,4.66,0.68,20.52,61.7,475,287,430,48.4
Premier League,Arsenal FC,36,66,33,33,57.0,32.3,24.7,14.14,4.64,0.12,0.37,15.0,4.4,14.52,4.6,0.76,19.31,56.9,563,335,483,50.5
Premier League,Liverpool FC,36,83,37,46,77.8,34.6,43.2,16.86,5.75,0.12,0.35,16.0,5.36,16.54,4.57,0.88,20.03,57.6,614,380,626,52.8
Premier League,Chelsea FC,36,62,43,19,65.9,45.8,20.1,15.92,5.5,0.1,0.28,16.7,4.96,15.99,3.78,0.81,17.08,57.6,555,346,516,51.1
Premier League,Tottenham Hotspur,36,63,59,4,56.2,59.7,-3.5,13.53,4.86,0.12,0.33,16.0,4.11,13.71,4.06,0.92,17.39,55.8,639,403,569,49.8
Premier League,Manchester United,36,42,53,-11,49.4,52.7,-3.3,13.75,4.39,0.07,0.23,17.3,4.24,11.83,3.46,0.78,15.01,53.2,774,465,683,49.1
Premier League,Newcastle United,36,68,45,23,61.1,43.7,17.3,13.56,4.22,0.13,0.4,15.9,4.18,11.94,4.21,0.77,16.73,51.0,572,351,575,50.8
Premier League,Aston Villa,36,56,49,7,54.3,46.7,7.6,12.61,4.19,0.11,0.34,16.2,3.8,11.98,3.3,0.6,13.93,50.6,612,353,524,47.6
Premier League,Brighton & Hove Albion,36,59,56,3,54.3,50.3,4.0,13.31,4.56,0.11,0.31,17.2,3.8,12.3,3.49,0.93,15.91,52.1,660,402,669,52.1
Premier League,West Ham United,36,42,59,-17,44.8,57.0,-12.2,12.42,3.5,0.08,0.29,16.3,3.48,11.12,2.81,0.74,12.72,47.9,610,363,508,51.0
Premier League,Nottingham Forest,36,56,44,12,42.4,46.7,-4.4,12.22,4.31,0.12,0.34,17.6,3.56,10.1,2.51,0.66,11.64,40.9,651,391,624,50.8
Premier League,Crystal Palace,36,46,48,-2,57.0,45.6,11.4,13.61,4.44,0.08,0.26,16.8,4.01,9.5,2.91,0.74,12.37,43.4,726,427,615,44.4
Premier League,AFC Bournemouth,36,55,43,12,61.3,46.7,14.6,15.17,5.08,0.09,0.26,16.7,4.66,13.06,3.49,1.07,15.68,48.3,666,385,610,48.1
Premier League,Brentford FC,36,63,53,10,55.0,53.4,1.6,11.42,4.5,0.14,0.35,15.0,3.5,11.54,3.38,0.94,14.14,47.7,599,360,562,53.0
Premier League,Wolverhampton Wanderers,36,51,64,-13,41.3,55.0,-13.8,11.14,4.06,0.12,0.34,18.1,3.29,10.4,2.9,0.76,12.22,47.5,758,446,636,48.3
Premier League,Everton FC,36,39,44,-5,37.9,43.9,-5.9,10.47,3.58,0.09,0.26,16.9,3.12,10.52,2.72,0.96,10.93,40.8,694,408,619,51.9
Premier League,Fulham FC,36,51,50,1,46.8,41.7,5.1,13.53,4.36,0.1,0.3,16.4,4.24,14.4,3.57,1.13,16.58,52.5,642,390,534,49.8
Premier League,Ipswich Town,36,35,77,-42,32.2,70.8,-38.6,9.44,3.17,0.09,0.28,17.8,2.87,8.93,1.71,0.53,9.48,40.3,565,323,576,50.3
Premier League,Southampton FC,36,25,82,-57,30.8,79.8,-49.0,9.11,2.83,0.07,0.24,16.4,2.92,10.57,2.33,0.63,12.0,48.8,616,358,557,53.5
Premier League,Leicester City,36,31,78,-47,31.6,68.9,-37.3,8.89,2.83,0.09,0.28,17.3,2.7,10.24,2.28,0.72,11.52,45.5,685,401,649,47.2
Serie A,Inter Milan,36,58,40,18,60.8,39.9,20.9,14.5,4.89,0.1,0.3,17.9,4.61,12.67,3.51,0.81,16.79,54.0,524,335,454,52.4
Serie A,Juventus FC,36,53,33,20,47.4,32.8,14.6,13.08,4.56,0.1,0.28,17.4,4.0,14.73,3.12,0.71,16.46,57.1,572,330,448,49.6
Serie A,AC Milan,36,58,40,18,60.8,39.9,20.9,14.5,4.89,0.1,0.3,17.9,4.61,12.67,3.51,0.81,16.79,54.0,524,335,454,52.4
Serie A,Atalanta BC,36,73,32,41,61.8,34.9,26.9,14.28,4.75,0.13,0.39,14.9,4.48,14.73,4.2,1.21,19.39,55.6,544,328,485,55.4
Serie A,SSC Napoli,36,57,27,30,50.2,29.0,21.1,13.17,3.94,0.11,0.35,16.3,4.14,12.93,3.31,0.79,16.2,53.8,517,310,455,53.6
Serie A,AS Roma,36,51,34,17,50.0,39.0,11.0,13.47,4.22,0.09,0.28,17.9,4.1,13.14,3.27,0.83,15.51,53.9,529,314,425,48.3
Serie A,SS Lazio,36,59,46,13,53.3,36.2,17.1,13.64,4.86,0.11,0.3,17.8,4.22,14.41,3.32,0.97,16.57,54.9,502,308,482,49.5
Serie A,Bologna FC 1909,36,54,41,13,46.1,34.0,12.1,13.17,4.39,0.1,0.3,17.5,3.98,14.29,3.04,1.13,15.34,58.0,565,332,515,48.0
Serie A,ACF Fiorentina,36,54,37,17,44.4,39.0,5.4,11.33,4.17,0.11,0.31,18.2,3.47,10.26,2.62,0.79,13.14,50.3,507,301,470,51.0
Serie A,Torino FC,36,39,42,-3,33.6,47.7,-14.0,10.06,3.19,0.09,0.3,18.4,2.9,9.99,2.64,0.87,11.66,47.3,444,247,417,48.2
Serie A,Como 1907,36,48,49,-1,43.4,40.2,3.3,13.58,4.64,0.09,0.26,17.9,4.23,12.02,2.98,0.63,14.36,54.6,641,398,568,49.2
Serie A,Genoa CFC,36,32,45,-13,35.1,44.5,-9.4,10.17,3.03,0.08,0.28,17.8,3.03,7.91,2.12,0.81,10.5,45.5,645,371,537,49.0
Serie A,Udinese Calcio,36,39,51,-12,36.4,48.2,-11.8,11.42,3.67,0.09,0.28,17.7,3.31,10.44,2.62,1.12,12.47,47.8,537,332,478,53.1
Serie A,Parma Calcio 1913,36,41,56,-15,40.2,54.8,-14.6,10.94,3.5,0.09,0.27,19.4,3.32,9.37,2.28,0.64,11.14,44.5,494,275,456,49.4
Serie A,FC Empoli,36,29,56,-27,30.3,48.2,-17.8,9.53,2.72,0.08,0.27,19.1,2.83,8.32,2.21,0.76,10.49,41.2,668,383,523,45.1
Serie A,Hellas Verona,36,31,64,-33,31.6,51.8,-20.2,9.75,2.5,0.07,0.29,17.7,2.91,8.89,2.07,0.66,10.77,39.1,632,404,561,48.8
Serie A,AC Monza,36,27,64,-37,28.4,52.0,-23.6,8.75,2.58,0.07,0.25,18.1,2.6,9.17,2.04,0.77,11.34,48.1,541,304,484,48.3
Serie A,Cagliari Calcio,36,37,54,-17,41.0,52.3,-11.3,11.03,3.03,0.08,0.29,15.9,3.17,9.66,2.5,0.96,12.19,45.3,508,283,421,50.0
Serie A,US Lecce,36,25,58,-33,33.4,54.8,-21.4,11.97,3.11,0.05,0.2,19.4,3.4,9.02,2.41,1.0,11.46,44.3,613,362,564,51.2
Serie A,Venezia FC,36,30,50,-20,34.4,54.0,-19.6,9.97,3.17,0.07,0.22,18.4,2.97,8.3,2.24,0.6,11.0,44.8,574,349,549,44.0
La Liga,Real Madrid,35,72,37,35,68.1,40.9,27.2,15.74,5.83,0.11,0.3,17.9,4.93,17.78,3.47,0.29,19.66,60.0,540,334,442,56.2
La Liga,FC Barcelona,35,95,36,59,86.0,37.6,48.4,17.77,6.4,0.14,0.38,17.0,5.21,20.39,5.03,0.81,22.78,67.9,494,304,469,53.4
La Liga,Atlético de Madrid,35,60,27,33,55.8,31.9,23.9,11.86,4.2,0.13,0.37,17.2,3.44,12.57,3.58,0.99,15.66,52.4,572,347,587,51.4
La Liga,Real Sociedad,36,32,42,-10,39.6,39.1,0.5,10.06,3.19,0.08,0.24,17.6,2.99,11.47,2.58,0.68,14.24,54.3,616,385,549,48.9
La Liga,Athletic Bilbao,35,51,26,25,49.5,33.4,16.1,12.4,4.03,0.11,0.33,17.5,3.69,13.41,2.88,0.94,16.36,48.7,547,322,541,48.9
La Liga,Villarreal CF,35,61,47,14,60.4,40.5,19.9,14.11,4.4,0.11,0.35,16.0,4.37,12.04,3.86,1.07,15.92,48.3,608,371,564,55.1
La Liga,Valencia CF,35,43,51,-8,41.2,48.1,-6.9,10.2,3.11,0.1,0.34,17.3,2.93,11.61,2.62,0.93,13.94,47.8,601,387,537,44.9
La Liga,Girona FC,36,42,53,-11,40.1,45.7,-5.6,10.72,3.56,0.1,0.29,17.7,3.32,15.76,3.24,0.94,18.11,56.9,529,330,521,48.3
La Liga,Sevilla FC,36,40,49,-9,40.5,44.3,-3.8,12.47,3.92,0.08,0.25,18.7,3.71,11.38,2.13,0.62,12.46,50.8,616,369,520,55.1
La Liga,Real Betis Balompié,35,53,43,10,51.6,43.9,7.7,13.8,4.66,0.09,0.28,18.0,4.31,11.39,3.41,0.79,15.18,52.6,600,369,599,49.5
La Liga,UD Las Palmas,36,40,58,-18,35.2,63.1,-27.9,10.75,3.53,0.09,0.28,19.2,3.2,11.2,2.68,0.89,12.7,50.1,595,356,582,48.2
La Liga,CA Osasuna,35,43,51,-8,40.6,49.6,-9.0,10.43,3.2,0.09,0.29,16.8,2.96,10.01,2.59,1.24,12.59,46.2,579,345,579,54.9
La Liga,Celta de Vigo,36,56,54,2,50.3,41.7,8.6,11.22,4.28,0.12,0.31,17.9,3.47,14.91,3.13,0.56,17.37,53.1,520,319,539,45.5
La Liga,RCD Espanyol Barcelona,35,38,47,-9,30.3,51.4,-21.1,9.11,2.54,0.1,0.36,18.4,2.57,7.79,2.04,0.81,10.16,39.7,594,367,552,49.5
La Liga,RCD Mallorca,35,33,40,-7,37.2,40.4,-3.2,10.34,2.91,0.08,0.27,16.2,2.99,9.9,2.52,1.19,12.2,46.7,538,335,451,52.5
La Liga,Getafe CF,35,31,34,-3,34.4,43.2,-8.8,11.51,3.31,0.06,0.22,19.4,3.04,10.13,2.33,1.06,10.32,42.6,600,362,610,51.3
La Liga,Deportivo Alavés,35,35,47,-12,37.7,43.0,-5.3,10.2,3.2,0.08,0.26,17.4,2.86,10.0,2.34,1.06,12.02,45.3,680,416,671,48.0
La Liga,Rayo Vallecano,35,37,42,-5,40.9,44.8,-3.9,13.14,4.17,0.07,0.23,19.2,3.7,11.11,2.41,0.84,13.92,51.9,586,367,613,47.5
La Liga,Real Valladolid CF,36,26,86,-60,32.6,64.1,-31.4,8.83,2.61,0.07,0.22,18.1,2.71,7.92,1.87,0.96,10.53,42.6,560,333,537,50.4
La Liga,CD Leganés,35,35,53,-18,31.4,56.8,-25.5,8.43,2.69,0.1,0.31,19.8,2.23,7.66,1.84,0.46,10.28,42.1,583,354,547,43.3
Bundesliga,Bayern Munich,33,95,32,63,80.3,25.1,55.2,18.85,7.58,0.13,0.33,16.6,5.56,22.89,5.0,0.74,23.18,67.9,491,293,430,55.6
Bundesliga,Bayer 04 Leverkusen,33,70,41,29,55.6,33.2,22.5,14.94,5.39,0.13,0.37,16.8,4.24,17.67,3.52,0.91,18.64,59.4,387,253,348,52.5
Bundesliga,RB Leipzig,33,51,45,6,45.5,50.8,-5.3,12.03,4.21,0.12,0.33,16.7,3.42,12.28,3.31,0.57,14.57,52.3,529,326,512,52.7
Bundesliga,Borussia Dortmund,33,68,51,17,58.7,42.0,16.7,13.94,4.61,0.13,0.41,16.0,3.99,14.13,3.49,0.93,16.56,58.4,509,313,480,53.5
Bundesliga,VfB Stuttgart,33,61,51,10,59.7,45.8,13.9,13.64,5.0,0.12,0.34,15.8,3.97,14.08,4.01,0.97,16.28,57.4,465,274,464,50.7
Bundesliga,Eintracht Frankfurt,33,65,45,20,63.1,47.3,15.8,14.21,5.03,0.13,0.37,16.4,3.83,11.32,3.38,0.61,14.77,50.0,545,331,495,52.3
Bundesliga,VfL Wolfsburg,33,55,54,1,45.8,51.6,-5.7,12.58,3.97,0.12,0.37,17.2,3.36,10.82,2.64,0.58,13.01,46.2,478,296,530,48.0
Bundesliga,TSG 1899 Hoffenheim,33,46,64,-18,42.2,54.3,-12.1,13.15,4.42,0.1,0.29,17.7,3.53,11.3,3.26,1.2,13.24,49.2,552,326,497,49.1
Bundesliga,SC Freiburg,33,48,50,-2,43.5,40.5,3.1,12.03,3.97,0.11,0.34,16.9,3.09,10.5,2.73,0.79,12.26,48.4,494,307,448,49.1
Bundesliga,1.FSV Mainz 05,33,53,41,12,47.1,46.9,0.2,12.06,4.15,0.12,0.35,16.4,3.42,11.23,3.28,0.98,13.88,50.4,549,316,437,47.0
Bundesliga,Borussia Mönchengladbach,33,55,56,-1,49.6,61.7,-12.1,12.03,4.55,0.12,0.33,16.3,3.29,9.01,2.93,0.99,11.76,49.3,488,274,459,52.9
Bundesliga,SV Werder Bremen,33,50,56,-6,46.9,46.5,0.4,12.48,4.03,0.11,0.35,16.0,3.51,10.28,3.6,0.99,14.67,50.0,534,311,503,50.2
Bundesliga,FC Augsburg,33,34,49,-15,33.0,48.1,-15.1,11.45,3.33,0.09,0.3,17.5,3.12,9.57,2.64,0.82,12.34,43.8,451,290,421,51.5
Bundesliga,1.FC Union Berlin,33,33,50,-17,36.2,46.1,-9.8,12.39,3.55,0.08,0.26,16.6,3.21,8.58,2.62,0.82,11.39,40.0,520,309,494,49.5
Bundesliga,1.FC Heidenheim 1846,33,36,60,-24,38.7,55.4,-16.7,11.42,3.52,0.08,0.27,17.3,3.1,8.66,2.47,0.9,10.31,43.2,601,347,549,46.0
Bundesliga,FC St. Pauli,33,28,39,-11,34.5,44.0,-9.5,11.12,3.24,0.07,0.23,17.3,3.0,9.48,2.16,0.76,11.5,43.8,534,313,503,44.7
Bundesliga,VfL Bochum,33,31,67,-36,40.5,62.4,-21.9,12.85,3.85,0.07,0.23,17.7,3.33,9.37,2.53,0.83,11.76,45.6,579,348,562,52.9
Bundesliga,Holstein Kiel,33,49,77,-28,39.1,58.6,-19.5,11.03,3.97,0.12,0.34,17.8,2.92,7.46,2.0,0.77,9.58,44.1,524,317,507,47.1
Ligue 1,Paris Saint-Germain,33,89,34,55,85.8,30.6,55.1,18.42,8.0,0.13,0.3,16.2,5.61,19.92,4.77,0.76,22.81,68.1,609,379,595,55.2
Ligue 1,AS Monaco,33,63,37,26,72.3,33.1,39.3,14.76,5.33,0.12,0.32,15.7,4.29,13.36,4.31,0.63,17.88,55.0,655,422,614,49.8
Ligue 1,LOSC Lille,33,50,35,15,52.7,42.3,10.3,12.24,4.55,0.11,0.29,16.6,3.39,14.73,3.66,0.76,17.24,57.0,610,348,543,52.8
Ligue 1,Olympique Marseille,33,70,45,25,59.8,44.0,15.9,14.12,5.36,0.13,0.33,16.7,4.09,16.47,3.49,0.74,18.61,63.4,534,343,457,55.7
Ligue 1,Olympique Lyon,33,63,46,17,56.4,45.2,11.1,12.55,5.15,0.13,0.31,16.1,3.7,13.08,3.93,0.62,17.32,56.4,562,332,583,47.4
Ligue 1,RC Strasbourg Alsace,33,54,41,13,47.7,53.6,-5.9,10.55,4.12,0.14,0.37,16.1,2.98,9.77,2.29,0.54,12.99,50.2,525,328,452,51.5
Ligue 1,OGC Nice,33,60,41,19,56.7,39.4,17.4,14.21,5.3,0.11,0.29,16.3,3.78,10.34,3.5,0.71,14.32,47.6,620,390,527,51.4
Ligue 1,Stade Rennais FC,33,49,46,3,47.3,42.1,5.3,12.55,4.61,0.11,0.29,17.3,3.43,11.82,2.92,0.69,15.74,51.2,585,353,498,53.1
Ligue 1,RC Lens,33,38,39,-1,50.0,44.8,5.2,14.21,4.33,0.07,0.22,16.7,3.91,12.14,3.82,1.08,15.7,54.3,588,357,567,52.6
Ligue 1,Stade Brestois 29,33,52,53,-1,44.5,52.5,-8.0,12.09,4.55,0.11,0.3,17.0,3.26,9.97,2.03,0.69,11.8,48.1,631,407,560,51.4
Ligue 1,Stade Reims,33,32,45,-13,37.3,55.3,-18.0,11.76,3.3,0.08,0.28,17.5,3.03,9.46,2.48,0.89,12.7,44.7,545,351,539,46.8
Ligue 1,FC Nantes,33,36,52,-16,36.6,54.8,-18.1,9.94,3.48,0.1,0.28,15.9,2.73,9.46,2.33,0.94,11.42,40.2,625,361,550,48.6
Ligue 1,FC Toulouse,33,41,41,0,46.0,35.4,10.5,11.58,4.15,0.09,0.26,15.5,3.12,9.43,3.02,0.69,13.06,45.0,588,351,587,49.1
Ligue 1,AJ Auxerre,33,47,48,-1,40.4,55.5,-15.1,11.15,4.3,0.11,0.3,17.5,3.22,8.78,2.32,0.73,11.86,42.8,642,394,583,49.3
Ligue 1,Le Havre AC,33,37,69,-32,38.9,61.3,-22.4,10.03,2.85,0.08,0.29,17.6,2.51,8.46,2.16,0.89,11.43,42.9,610,379,546,50.6
Ligue 1,AS Saint-Étienne,32,35,74,-39,35.0,71.1,-36.1,10.21,3.12,0.09,0.31,18.7,2.84,10.67,2.51,0.34,13.22,46.8,562,356,571,46.7
Ligue 1,Montpellier HSC,32,23,74,-51,32.7,60.8,-28.1,10.58,3.27,0.06,0.19,19.5,2.79,9.36,1.8,0.8,11.14,44.9,615,369,594,46.4
Ligue 1,Angers SCO,33,32,51,-19,35.6,53.9,-18.3,9.03,2.67,0.09,0.3,18.2,2.31,8.27,2.14,0.68,10.23,41.1,612,386,592,44.1