Team,MP,GF,GA,GD,xG,xGA,xGD,Shots/90,SoT/90,Goals/Shot,Goals/SoT,Avg Shot Distance,Key Passes/90,Passes into Final Third/90,Passes into Penalty Area/90,Crosses into Penalty Area/90,Progressive Passes/90,Possession %,Tackles,Tackles Won,Challenges Attempted,Aerial Duel Win %
Paris S-G,33,89,34,55,85.8,30.6,55.1,18.42,8.0,0.13,0.3,16.2,5.61,19.92,4.77,0.76,22.81,68.1,609,379,595,55.2
Marseille,33,70,45,25,59.8,44.0,15.9,14.12,5.36,0.13,0.33,16.7,4.09,16.47,3.49,0.74,18.61,63.4,534,343,457,55.7
Monaco,33,63,37,26,72.3,33.1,39.3,14.76,5.33,0.12,0.32,15.7,4.29,13.36,4.31,0.63,17.88,55.0,655,422,614,49.8
Nice,33,60,41,19,56.7,39.4,17.4,14.21,5.3,0.11,0.29,16.3,3.78,10.34,3.5,0.71,14.32,47.6,620,390,527,51.4
Lille,33,50,35,15,52.7,42.3,10.3,12.24,4.55,0.11,0.29,16.6,3.39,14.73,3.66,0.76,17.24,57.0,610,348,543,52.8
Strasbourg,33,54,41,13,47.7,53.6,-5.9,10.55,4.12,0.14,0.37,16.1,2.98,9.77,2.29,0.54,12.99,50.2,525,328,452,51.5
Lyon,33,63,46,17,56.4,45.2,11.1,12.55,5.15,0.13,0.31,16.1,3.7,13.08,3.93,0.62,17.32,56.4,562,332,583,47.4
Brest,33,52,53,-1,44.5,52.5,-8.0,12.09,4.55,0.11,0.3,17.0,3.26,9.97,2.03,0.69,11.8,48.1,631,407,560,51.4
Lens,33,38,39,-1,50.0,44.8,5.2,14.21,4.33,0.07,0.22,16.7,3.91,12.14,3.82,1.08,15.7,54.3,588,357,567,52.6
Auxerre,33,47,48,-1,40.4,55.5,-15.1,11.15,4.3,0.11,0.3,17.5,3.22,8.78,2.32,0.73,11.86,42.8,642,394,583,49.3
Rennes,33,49,46,3,47.3,42.1,5.3,12.55,4.61,0.11,0.29,17.3,3.43,11.82,2.92,0.69,15.74,51.2,585,353,498,53.1
Toulouse,33,41,41,0,46.0,35.4,10.5,11.58,4.15,0.09,0.26,15.5,3.12,9.43,3.02,0.69,13.06,45.0,588,351,587,49.1
Angers,33,32,51,-19,35.6,53.9,-18.3,9.03,2.67,0.09,0.3,18.2,2.31,8.27,2.14,0.68,10.23,41.1,612,386,592,44.1
Reims,33,32,45,-13,37.3,55.3,-18.0,11.76,3.3,0.08,0.28,17.5,3.03,9.46,2.48,0.89,12.7,44.7,545,351,539,46.8
Nantes,33,36,52,-16,36.6,54.8,-18.1,9.94,3.48,0.1,0.28,15.9,2.73,9.46,2.33,0.94,11.42,40.2,625,361,550,48.6
Le Havre,33,37,69,-32,38.9,61.3,-22.4,10.03,2.85,0.08,0.29,17.6,2.51,8.46,2.16,0.89,11.43,42.9,610,379,546,50.6
Saint-Ã‰tienne,32,35,74,-39,35.0,71.1,-36.1,10.21,3.12,0.09,0.31,18.7,2.84,10.67,2.51,0.34,13.22,46.8,562,356,571,46.7
Montpellier,32,23,74,-51,32.7,60.8,-28.1,10.58,3.27,0.06,0.19,19.5,2.79,9.36,1.8,0.8,11.14,44.9,615,369,594,46.4
