Team,GF,GA,GD,xG,xGA,xGD,Shots/90,SoT/90,Goals/Shot,Goals/SoT,Avg Shot Distance,Key Passes/90,Passes into Final Third/90,Passes into Penalty Area/90,Crosses into Penalty Area/90,Progressive Passes/90,Possession %,Tackles,Tackles Won,Challenges Attempted,Aerial Duel Win %
Liverpool,83,37,46,77.8,34.6,43.2,16.86,5.75,0.12,0.35,16.0,5.36,16.54,4.57,0.88,20.03,57.6,614,380,626,52.8
Arsenal,66,33,33,57.0,32.3,24.7,14.14,4.64,0.12,0.37,15.0,4.4,14.52,4.6,0.76,19.31,56.9,563,335,483,50.5
Newcastle Utd,68,45,23,61.1,43.7,17.3,13.56,4.22,0.13,0.4,15.9,4.18,11.94,4.21,0.77,16.73,51.0,572,351,575,50.8
Manchester City,67,43,24,63.6,45.3,18.3,15.89,5.53,0.11,0.32,16.9,5.0,17.89,4.66,0.68,20.52,61.7,475,287,430,48.4
Chelsea,62,43,19,65.9,45.8,20.1,15.92,5.5,0.1,0.28,16.7,4.96,15.99,3.78,0.81,17.08,57.6,555,346,516,51.1
Aston Villa,56,49,7,54.3,46.7,7.6,12.61,4.19,0.11,0.34,16.2,3.8,11.98,3.3,0.6,13.93,50.6,612,353,524,47.6
Nott'ham Forest,56,44,12,42.4,46.7,-4.4,12.22,4.31,0.12,0.34,17.6,3.56,10.1,2.51,0.66,11.64,40.9,651,391,624,50.8
Brentford,63,53,10,55.0,53.4,1.6,11.42,4.5,0.14,0.35,15.0,3.5,11.54,3.38,0.94,14.14,47.7,599,360,562,53.0
Brighton,59,56,3,54.3,50.3,4.0,13.31,4.56,0.11,0.31,17.2,3.8,12.3,3.49,0.93,15.91,52.1,660,402,669,52.1
Bournemouth,55,43,12,61.3,46.7,14.6,15.17,5.08,0.09,0.26,16.7,4.66,13.06,3.49,1.07,15.68,48.3,666,385,610,48.1
Fulham,51,50,1,46.8,41.7,5.1,13.53,4.36,0.1,0.3,16.4,4.24,14.4,3.57,1.13,16.58,52.5,642,390,534,49.8
Crystal Palace,46,48,-2,57.0,45.6,11.4,13.61,4.44,0.08,0.26,16.8,4.01,9.5,2.91,0.74,12.37,43.4,726,427,615,44.4
Everton,39,44,-5,37.9,43.9,-5.9,10.47,3.58,0.09,0.26,16.9,3.12,10.52,2.72,0.96,10.93,40.8,694,408,619,51.9
Wolves,51,64,-13,41.3,55.0,-13.8,11.14,4.06,0.12,0.34,18.1,3.29,10.4,2.9,0.76,12.22,47.5,758,446,636,48.3
West Ham,42,59,-17,44.8,57.0,-12.2,12.42,3.5,0.08,0.29,16.3,3.48,11.12,2.81,0.74,12.72,47.9,610,363,508,51.0
Manchester Utd,42,53,-11,49.4,52.7,-3.3,13.75,4.39,0.07,0.23,17.3,4.24,11.83,3.46,0.78,15.01,53.2,774,465,683,49.1
Tottenham,63,59,4,56.2,59.7,-3.5,13.53,4.86,0.12,0.33,16.0,4.11,13.71,4.06,0.92,17.39,55.8,639,403,569,49.8
Ipswich Town,35,77,-42,32.2,70.8,-38.6,9.44,3.17,0.09,0.28,17.8,2.87,8.93,1.71,0.53,9.48,40.3,565,323,576,50.3
Leicester City,31,78,-47,31.6,68.9,-37.3,8.89,2.83,0.09,0.28,17.3,2.7,10.24,2.28,0.72,11.52,45.5,685,401,649,47.2
Southampton,25,82,-57,30.8,79.8,-49.0,9.11,2.83,0.07,0.24,16.4,2.92,10.57,2.33,0.63,12.0,48.8,616,358,557,53.5